Series Name Series Code	Country Name	Country Code	1996 [YR1996]	1998 [YR1998]	2000 [YR2000]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]
Voice and Accountability: Estimate	VA.EST	Liberia	LBR	-1.49298214912415	-1.02244889736176	-1.16033661365509	-1.37924420833588	-1.53306972980499	-1.30513370037079	-0.304523020982742	-0.194459408521652	-0.201589450240135	-0.244130805134773	-0.204333528876305	-0.259230405092239	-0.307655334472656	-0.352038621902466	-0.444330126047134	-0.293793916702271
Voice and Accountability: Estimate	VA.EST	Madagascar	MDG	-0.256149619817734	0.110093332827091	0.079576313495636	-0.18870148062706	0.0285738985985518	-0.0139628453180194	-0.141226544976234	-0.116310365498066	-0.152477890253067	-0.341382652521133	-0.858467817306519	-0.829660713672638	-0.860057294368744	-0.871538639068604	-0.78440910577774	-0.525082528591156
Voice and Accountability: Estimate	VA.EST	Malawi	MWI	-0.204409062862396	-0.0324695743620396	-0.17612162232399	-0.647732853889465	-0.42437207698822	-0.504107654094696	-0.478225708007813	-0.259564369916916	-0.274570494890213	-0.253598123788834	-0.16179271042347	-0.205307096242905	-0.262188911437988	-0.222682192921638	-0.185530871152878	-0.12393856793642
Voice and Accountability: Estimate	VA.EST	Mali	MLI	-0.11907584965229	-0.174839720129967	-0.113705672323704	0.265014499425888	0.375192880630493	0.291991651058197	0.252628684043884	0.274335145950317	0.190942347049713	0.1600162088871	0.0418586581945419	0.1343904286623	0.146382421255112	-0.535198867321014	-0.306446671485901	-0.198908552527428
Voice and Accountability: Estimate	VA.EST	Mauritania	MRT	-0.54015040397644	-0.728518307209015	-0.851609945297241	-0.849292159080505	-0.867738008499146	-1.14503479003906	-0.969296276569366	-0.897610187530518	-0.719411849975586	-0.986390650272369	-0.96510899066925	-0.951103389263153	-0.968618214130402	-0.956695854663849	-0.957543313503265	-0.914065003395081
Voice and Accountability: Estimate	VA.EST	Mauritius	MUS	0.829774022102356	1.02463090419769	0.990950644016266	0.774395763874054	0.846938192844391	0.853433132171631	0.854057908058167	0.89675509929657	0.870269775390625	0.848674356937408	0.813707709312439	0.779456615447998	0.786964416503906	0.86364609003067	0.8971186876297	0.914640724658966
Voice and Accountability: Estimate	VA.EST	Mozambique	MOZ	-0.350260734558105	-0.197944760322571	-0.231900811195374	-0.224649414420128	-0.0359785109758377	-0.0563379600644112	-0.0044285343028605	-0.0832558572292328	-0.0802649334073067	-0.0731309279799461	-0.105937406420708	-0.11138416826725	-0.192509859800339	-0.198182582855225	-0.287314176559448	-0.227304890751839
Voice and Accountability: Estimate	VA.EST	Namibia	NAM	0.487134665250778	0.280344724655151	0.306760460138321	0.225714653730392	0.216747626662254	0.31731903553009	0.365350782871246	0.484114915132523	0.447644740343094	0.436109721660614	0.374144911766052	0.353134214878082	0.347550988197327	0.36972177028656	0.386710166931152	0.536857604980469
Voice and Accountability: Estimate	VA.EST	Niger	NER	-1.83424961566925	-1.60559737682343	-0.204080119729042	-0.279261618852615	-0.171266824007034	-0.181149512529373	-0.299421608448029	-0.388398438692093	-0.428775250911713	-0.504444479942322	-0.784350037574768	-0.668239176273346	-0.290705054998398	-0.335240185260773	-0.348095208406448	-0.245184257626534
Voice and Accountability: Estimate	VA.EST	Nigeria	NGA	-1.66316080093384	-1.21596705913544	-0.582157135009766	-0.711686849594116	-0.637705087661743	-0.767930865287781	-0.84345817565918	-0.644507706165314	-0.788936138153076	-0.760198712348938	-0.871910929679871	-0.802217721939087	-0.747826755046844	-0.734517753124237	-0.745435953140259	-0.647386789321899
Voice and Accountability: Estimate	VA.EST	Rwanda	RWA	-1.56426131725311	-1.30961894989014	-1.52451002597809	-1.47401940822601	-1.29172956943512	-1.31036114692688	-1.15510523319244	-1.16736531257629	-1.20121729373932	-1.29563748836517	-1.28452634811401	-1.31068801879883	-1.30841481685638	-1.25678968429565	-1.17881047725677	-1.12563693523407
Voice and Accountability: Estimate	VA.EST	Sao Tome and Principe	STP	0.214265659451485	0.469124644994736	0.439316868782043	0.59874027967453	0.33855140209198	0.192872568964958	0.163443595170975	0.21458537876606	0.142338007688522	0.130365833640099	0.131009608507156	0.0763157680630684	0.213598310947418	0.142868205904961	0.107479423284531	0.329166293144226
Voice and Accountability: Estimate	VA.EST	Senegal	SEN	0.00440387707203627	-0.120942190289497	0.0841019377112389	0.333446681499481	0.264064133167267	0.182964324951172	0.0290981791913509	0.00832388177514076	-0.244043380022049	-0.283086597919464	-0.329990088939667	-0.317027986049652	-0.263180822134018	-0.0361412540078163	0.0381184108555317	0.252506822347641
Voice and Accountability: Estimate	VA.EST	Seychelles	SYC	0.227248132228851	0.274575918912888	0.158295452594757	0.200796037912369	0.0827395096421242	0.326345682144165	0.181469574570656	0.119880251586437	0.0828114375472069	0.0248823426663876	0.0721744373440742	0.149889260530472	0.0635172948241234	0.0846279561519623	0.00573466904461384	-0.00690515013411641
Voice and Accountability: Estimate	VA.EST	Sierra Leone	SLE	-0.688300788402557	-1.37524461746216	-1.57438635826111	-0.678536057472229	-0.369722962379456	-0.316954135894775	-0.518261253833771	-0.384186297655106	-0.253095000982285	-0.173730552196503	-0.263889282941818	-0.18426051735878	-0.234394416213036	-0.350809305906296	-0.382695257663727	-0.310070216655731
Voice and Accountability: Estimate	VA.EST	Somalia	SOM	-2.08847403526306	-2.02810263633728	-1.8531197309494	-1.56073045730591	-1.80700480937958	-1.81002366542816	-1.76111948490143	-1.83355522155762	-1.93230700492859	-1.92982888221741	-2.09113645553589	-2.06550335884094	-2.06950950622559	-2.23353362083435	-2.19037532806396	-2.13354182243347
Voice and Accountability: Estimate	VA.EST	South Africa	ZAF	0.853944659233093	0.874048471450806	0.71804815530777	0.63262403011322	0.700476348400116	0.727435171604156	0.644244909286499	0.652527868747711	0.572934150695801	0.551562607288361	0.552085995674133	0.583341658115387	0.573767960071564	0.555759608745575	0.579867541790009	0.652843415737152
Voice and Accountability: Estimate	VA.EST	South Sudan	SSD	..	..	..	..	..	..	..	..	..	..	..	..	-0.977030813694	-1.28094887733459	-1.40743625164032	-1.52025473117828
Voice and Accountability: Estimate	VA.EST	Sudan	SDN	-1.88329422473907	-1.81302654743195	-1.74044001102448	-1.531494140625	-1.67358124256134	-1.67191565036774	-1.74348950386047	-1.71310639381409	-1.61876976490021	-1.61637699604034	-1.66434013843536	-1.72259080410004	-1.76828587055206	-1.77011096477509	-1.77515518665314	-1.73362827301025
Voice and Accountability: Estimate	VA.EST	Swaziland	SWZ	-1.25041711330414	-1.13788330554962	-1.41162753105164	-1.32283222675323	-1.47541630268097	-1.407475233078	-1.42366600036621	-1.17341017723083	-1.28000998497009	-1.23975968360901	-1.20433056354523	-1.25149524211884	-1.23348212242126	-1.19643294811249	-1.14858591556549	-1.20402729511261
Voice and Accountability: Estimate	VA.EST	Tanzania	TZA	-0.741629600524902	-0.603239715099335	-0.514570891857147	-0.412915706634521	-0.373777538537979	-0.472627639770508	-0.290457427501678	-0.196519106626511	-0.139749869704247	-0.174085676670074	-0.158080622553825	-0.131518363952637	-0.140824913978577	-0.183585807681084	-0.218622118234634	-0.169418260455132
Voice and Accountability: Estimate	VA.EST	Togo	TGO	-1.08896374702454	-1.24010062217712	-1.21939933300018	-1.47085881233215	-1.25312471389771	-1.27144157886505	-1.28330266475677	-1.28109610080719	-1.13938975334167	-1.05782532691956	-1.03641486167908	-0.999072849750519	-0.948825359344482	-1.04228293895721	-0.982040107250214	-0.824246466159821
Voice and Accountability: Estimate	VA.EST	Uganda	UGA	-0.951372742652893	-0.912766575813293	-1.05834543704987	-0.933521330356598	-0.641600370407104	-0.652038037776947	-0.528306722640991	-0.419172585010529	-0.470730930566788	-0.5031458735466	-0.497337311506271	-0.501408457756042	-0.512070655822754	-0.479854047298431	-0.545458257198334	-0.561635196208954
Voice and Accountability: Estimate	VA.EST	Zambia	ZMB	-0.396256566047668	-0.598873853683472	-0.491870790719986	-0.370337933301926	-0.376588851213455	-0.412476450204849	-0.41956028342247	-0.224703758955002	-0.224930346012115	-0.180896550416946	-0.319576621055603	-0.255700439214706	-0.177372828125954	-0.143400818109512	-0.108350276947021	-0.144866749644279
Voice and Accountability: Estimate	VA.EST	Zimbabwe	ZWE	-0.618496000766754	-0.822519063949585	-1.10547637939453	-1.4061895608902	-1.43920290470123	-1.54594302177429	-1.66280162334442	-1.53559720516205	-1.57400178909302	-1.53840494155884	-1.53933346271515	-1.47801566123962	-1.47177052497864	-1.44505131244659	-1.3831559419632	-1.27744436264038
