seriesName,seriesCode,countryName,countryCode,YR1996,YR1998,YR2000,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
Control of Corruption: Estimate,CC.EST,Lesotho,LSO,-0.472677261,-0.072774947,-0.123622812,-0.178667739,-0.394999295,-0.192214057,-0.039452244,-0.052554164,-0.120186359,0.031414282,0.159893453,0.178159609,0.176513478,0.105559707,0.226149216,0.1488536
Control of Corruption: Estimate,CC.EST,Liberia,LBR,-1.740032315,-1.729733825,-1.368740916,-1.173000097,-1.218102932,-1.267353773,-1.037224412,-0.473982304,-0.331996948,-0.700397432,-0.562710524,-0.527838469,-0.622153699,-0.586680472,-0.680935681,-0.779686451
Control of Corruption: Estimate,CC.EST,Madagascar,MDG,0.207123429,-0.54761523,-0.133932739,0.05839045,0.061684918,-0.118872143,0.095425464,-0.119608432,-0.099298634,-0.159710124,-0.192414686,-0.274230748,-0.32219699,-0.566376507,-0.680036485,-0.800706148
Control of Corruption: Estimate,CC.EST,Malawi,MWI,-0.221413642,-0.186980993,-0.209319681,-1.009677649,-0.783786774,-0.75612098,-0.735593617,-0.540256798,-0.5386253,-0.434842139,-0.382430375,-0.45740056,-0.373908371,-0.442492783,-0.624456346,-0.760259569
Control of Corruption: Estimate,CC.EST,Mali,MLI,-0.441928476,-0.633749962,-0.664683163,-0.531650782,-0.540180147,-0.497073233,-0.400432169,-0.405284077,-0.335154325,-0.455023825,-0.635681331,-0.650766671,-0.568382263,-0.785093963,-0.738361955,-0.718530178
Control of Corruption: Estimate,CC.EST,Mauritania,MRT,-0.014623114,-0.202146247,-0.253376335,0.234631717,0.205491439,-0.372007102,-0.359770954,-0.675716639,-0.504398823,-0.721408844,-0.556061268,-0.671020985,-0.556527376,-0.725639999,-0.797520041,-0.915579081
Control of Corruption: Estimate,CC.EST,Mauritius,MUS,0.544224203,0.605978549,0.549503982,0.565122545,0.427513778,0.343916506,0.398830175,0.390539259,0.494920135,0.591578543,0.629706264,0.652759433,0.630802095,0.390894175,0.359937191,0.447957247
Control of Corruption: Estimate,CC.EST,Mozambique,MOZ,-0.356238186,-0.352172524,-0.3990722,-0.446163267,-0.584910512,-0.593226671,-0.541454732,-0.596308887,-0.494207472,-0.474126875,-0.421019763,-0.429182142,-0.490775734,-0.577031195,-0.636260629,-0.702652812
Control of Corruption: Estimate,CC.EST,Namibia,NAM,0.709735155,0.592469275,0.473544627,-0.043925405,0.179763168,0.121797718,0.179131076,0.167765677,0.262119353,0.564744532,0.248582169,0.317617804,0.294442564,0.292333484,0.284475505,0.234230176
Control of Corruption: Estimate,CC.EST,Niger,NER,-1.090980411,-1.03404367,-0.94067049,-1.067721725,-1.023349762,-0.849194229,-0.725292444,-0.854506373,-0.776496232,-0.750296414,-0.608583748,-0.667617559,-0.593805015,-0.633021235,-0.560547709,-0.629819572
Control of Corruption: Estimate,CC.EST,Nigeria,NGA,-1.15256238,-1.067921162,-1.126223326,-1.333274603,-1.320129156,-1.304501295,-1.15879035,-1.07408309,-0.983503401,-0.811054409,-0.976468921,-0.997326612,-1.134160757,-1.146298766,-1.201796651,-1.273149729
Control of Corruption: Estimate,CC.EST,Rwanda,RWA,-0.930731416,-0.784573913,-0.645411074,-0.462244391,-0.60455507,-0.478096336,-0.74160552,-0.172137946,0.014227863,0.139370754,0.133075252,0.462566197,0.428638011,0.647547483,0.639573872,0.829795122
Control of Corruption: Estimate,CC.EST,Sao Tome and Principe,STP,-0.014623114,-0.516434729,-0.080247082,-0.31795907,-0.606583834,-0.60205394,-0.860092759,-0.538795769,-0.477900296,-0.449491233,-0.391897827,-0.434616536,-0.366273642,-0.393704563,-0.382465333,-0.157341853
Control of Corruption: Estimate,CC.EST,Senegal,SEN,-0.221413642,-0.196166784,-0.112979792,0.309991628,-0.143113211,-0.054972477,-0.029073734,-0.434696406,-0.553363681,-0.53542465,-0.528086364,-0.693868577,-0.527572036,-0.292149812,-0.276310235,0.017469976
Control of Corruption: Estimate,CC.EST,Seychelles,SYC,0.901485145,0.22313717,0.464429259,0.306774378,0.327270746,0.202042758,0.142946839,0.092880122,0.188696682,0.245717019,0.313525021,0.292838246,0.25488615,0.333638549,0.385605097,0.371826261
Control of Corruption: Estimate,CC.EST,Sierra Leone,SLE,-0.773554325,-0.870935082,-0.912776649,-0.747114122,-0.907202601,-0.876574755,-1.094539523,-1.05024755,-0.89561069,-0.963051736,-0.938531041,-0.77319032,-0.832603037,-0.951817334,-0.906574547,-0.94774574
Control of Corruption: Estimate,CC.EST,Somalia,SOM,-1.740032315,-1.781597853,-1.784258246,-1.167219043,-1.799359083,-1.783972859,-1.678744435,-1.843490362,-1.896752834,-1.92404592,-1.722720027,-1.738751292,-1.696903825,-1.590732694,-1.58430469,-1.687165618
Control of Corruption: Estimate,CC.EST,South Africa,ZAF,0.760918677,0.650558531,0.612061262,0.390923381,0.33611986,0.480212837,0.580777824,0.432334572,0.219553843,0.161738381,0.143405423,0.092799075,0.027325435,-0.165250883,-0.125960976,-0.113314249
Control of Corruption: Estimate,CC.EST,South Sudan,SSD,null,null,null,null,null,null,null,null,null,null,null,-0.773424625,-1.630662322,-1.341986895,-1.36232233,-1.613196254
Control of Corruption: Estimate,CC.EST,Sudan,SDN,-1.276314974,-1.015855551,-0.799846411,-1.02262044,-1.240133166,-1.276194096,-1.449621677,-1.169219017,-1.343242526,-1.484348655,-1.214814186,-1.256675005,-1.228496552,-1.512159586,-1.493514895,-1.446915507
Control of Corruption: Estimate,CC.EST,Swaziland,SWZ,-0.014623114,-0.017277481,-0.253376335,-0.31795907,-0.549791515,-0.576904058,-0.478626668,-0.290178031,-0.240784541,-0.176613495,-0.196211517,-0.167340666,-0.295373917,-0.359871984,-0.341910034,-0.360530674
Control of Corruption: Estimate,CC.EST,Tanzania,TZA,-1.028809786,-0.969703496,-0.948723316,-0.940990269,-0.779016018,-0.583176196,-0.649834573,-0.22254993,-0.342870891,-0.421343684,-0.442522109,-0.539007187,-0.625644803,-0.802464247,-0.814800024,-0.796055317
Control of Corruption: Estimate,CC.EST,Togo,TGO,-0.759354532,-0.633749962,-0.664683163,-0.768694162,-0.904725254,-0.928813994,-0.792512596,-1.069573283,-0.952149689,-0.933160305,-1.027181625,-0.964515328,-1.004006267,-1.019853115,-1.045585394,-0.923641503
Control of Corruption: Estimate,CC.EST,Uganda,UGA,-0.603743374,-0.917637885,-0.852383375,-0.941675067,-0.797382474,-0.747059047,-0.84630233,-0.753944874,-0.797680795,-0.830535591,-0.887133837,-0.904388905,-0.893212318,-0.981396377,-1.047368169,-1.097252965
Control of Corruption: Estimate,CC.EST,Zambia,ZMB,-1.028809786,-0.88067168,-0.852383375,-0.937460423,-0.759775996,-0.679869533,-0.787750721,-0.728720665,-0.571055412,-0.474338979,-0.513209105,-0.565428972,-0.469694316,-0.357603788,-0.381781846,-0.414568007
Control of Corruption: Estimate,CC.EST,Zimbabwe,ZWE,-0.24990119,-0.650212884,-0.945581377,-1.214092612,-1.247117281,-1.309301019,-1.277513146,-1.329932094,-1.35760498,-1.305026412,-1.316576481,-1.306053638,-1.378290534,-1.269812465,-1.357642651,-1.388679981
